@relation microarray.txt

@attribute seedMFE numeric
@attribute totalAU numeric
@attribute Class {Target,Non-Target}

@data
-20.9,7,Target
-20.9,9,Target
-20.9,7,Target
-20.9,7,Target
-20.9,6,Target
-20.9,6,Target
-19.5,3,Target
-19.5,6,Target
-19.5,10,Target
-19.5,6,Target
-19.5,7,Target
-19.5,5,Target
-17.4,8,Target
-17.4,9,Target
-19.5,9,Target
-20.9,7,Target
-20.9,9,Target
-20.9,7,Target
-19.5,9,Target
-19.5,6,Target
-19.5,10,Target
-19.5,8,Target
-17.4,7,Target
-19.5,6,Target
-19.5,3,Target
-19.5,9,Target
-19.5,8,Target
-19.5,7,Target
-15.1,11,Target
-20.9,8,Target
-20.9,8,Target
-20.9,7,Target
-20.9,4,Target
-20.9,6,Target
-19.5,9,Target
-17.4,9,Target
-17.4,8,Target
-15.1,8,Target
-20.5,7,Target
-19.5,5,Target
-19.5,6,Target
-19.5,5,Target
-19.5,7,Target
-19.5,8,Target
-19.5,6,Target
-20.9,9,Target
-20.9,8,Target
-20.9,6,Target
-20.9,5,Target
-18.3,8,Target
-20.9,4,Target
-19.5,4,Target
-16.9,8,Target
-16.9,8,Target
-16.9,7,Target
-14.7,8,Target
-16.9,6,Target
-16.3,7,Target
-17.8,10,Target
-17.8,7,Target
-17.8,7,Target
-17.8,8,Target
-17.8,10,Target
-21.7,4,Target
-20.9,7,Target
-20.9,7,Target
-20.9,8,Target
-20.9,7,Target
-20.9,5,Target
-19.3,7,Target
-21.7,3,Target
-21.7,4,Target
-17.9,9,Target
-17.9,9,Target
-17.9,10,Target
-17.9,9,Target
-17.9,7,Target
-17.9,8,Target
-17.9,6,Target
-16,10,Target
-16,8,Target
-16,9,Target
-16,10,Target
-16,7,Target
-14.7,9,Target
-16,8,Target
-16,9,Target
-16,11,Target
-16,10,Target
-16,9,Target
-16,7,Target
-16,8,Target
-16,9,Target
-16,7,Target
-16,8,Target
-16,9,Target
-16,11,Target
-16,11,Target
-16,9,Target
-16,8,Target
-16,8,Target
-15.4,7,Target
-16,8,Target
-16,5,Target
-20.9,8,Target
-20.9,8,Target
-20.9,8,Target
-20.9,7,Target
-20.9,5,Target
-14.7,7,Target
-16,8,Target
-18.9,8,Target
-18.9,6,Target
-18.9,7,Target
-19,10,Target
-19,5,Target
-16,10,Target
-16,6,Target
-16,10,Target
-15.7,9,Target
-20.9,9,Target
-20.9,7,Target
-20.9,9,Target
-20.9,6,Target
-16,11,Target
-16,7,Target
-16,11,Target
-16,10,Target
-16,9,Target
-16,8,Target
-16,7,Target
-15.7,10,Target
-13.9,10,Target
-11.6,9,Target
-16,6,Target
-16,9,Target
-16,8,Target
-15.7,9,Target
-15.7,8,Target
-16,7,Target
-16,10,Target
-16,9,Target
-18,9,Target
-18,8,Target
-20.4,5,Target
-17.8,7,Target
-22.1,6,Target
-18.2,8,Target
-21.1,9,Target
-21.1,8,Target
-19,10,Target
-21.1,4,Target
-15.2,9,Target
-21.1,2,Target
-21.1,5,Target
-18.5,6,Target
-12.6,9,Target
-18.5,4,Target
-18.5,5,Target
-18.5,4,Target
-18.5,8,Target
-18.5,5,Target
-18.5,6,Target
-17.9,7,Target
-18.5,4,Target
-18,11,Target
-18,7,Target
-18.9,11,Target
-22.3,5,Target
-22.3,2,Target
-22.3,5,Target
-21.4,3,Target
-19.4,5,Target
-22.3,2,Target
-18.2,8,Target
-14.6,5,Target
-20.5,7,Target
-20.5,7,Target
-20.5,7,Target
-20.1,8,Target
-20.1,8,Target
-20.1,5,Target
-15.7,8,Target
-20.1,9,Target
-20.1,9,Target
-20.1,5,Target
-20.1,9,Target
-15.7,7,Target
-20.1,10,Target
-20.1,7,Target
-20.1,9,Target
-20.1,5,Target
-20.1,9,Target
-20.1,9,Target
-20.1,7,Target
