@relation microarray.txt

@attribute Score numeric
@attribute seedMFE numeric
@attribute totalAU numeric
@attribute seedGC numeric
@attribute Class {Target,Non-Target}

@data
154,-20.9,7,4,Target
153,-20.9,9,4,Target
143,-20.9,7,4,Target
152,-20.9,7,4,Target
148,-20.9,6,4,Target
148,-20.9,6,4,Target
140,-19.5,3,4,Target
148,-19.5,6,4,Target
158,-19.5,10,4,Target
153,-19.5,6,4,Target
156,-19.5,7,4,Target
147,-19.5,5,4,Target
140,-17.4,8,3,Target
141,-17.4,9,3,Target
160,-19.5,9,4,Target
154,-20.9,7,4,Target
153,-20.9,9,4,Target
143,-20.9,7,4,Target
155,-19.5,9,4,Target
146,-19.5,6,4,Target
171,-19.5,10,4,Target
152,-19.5,8,4,Target
144,-17.4,7,3,Target
143,-19.5,6,4,Target
142,-19.5,3,4,Target
165,-19.5,9,4,Target
149,-19.5,8,4,Target
146,-19.5,7,4,Target
141,-15.1,11,4,Target
168,-20.9,8,4,Target
159,-20.9,8,4,Target
157,-20.9,7,4,Target
152,-20.9,4,4,Target
151,-20.9,6,4,Target
154,-19.5,9,4,Target
144,-17.4,9,3,Target
147,-17.4,8,3,Target
141,-15.1,8,4,Target
144,-20.5,7,4,Target
142,-19.5,5,4,Target
140,-19.5,6,4,Target
146,-19.5,5,4,Target
162,-19.5,7,4,Target
158,-19.5,8,4,Target
151,-19.5,6,4,Target
161,-20.9,9,4,Target
161,-20.9,8,4,Target
154,-20.9,6,4,Target
152,-20.9,5,4,Target
145,-18.3,8,3,Target
140,-20.9,4,4,Target
145,-19.5,4,4,Target
160,-16.9,8,3,Target
166,-16.9,8,3,Target
164,-16.9,7,3,Target
145,-14.7,8,2,Target
161,-16.9,6,3,Target
147,-16.3,7,2,Target
181,-17.8,10,3,Target
164,-17.8,7,3,Target
159,-17.8,7,3,Target
160,-17.8,8,3,Target
154,-17.8,10,3,Target
145,-21.7,4,5,Target
160,-20.9,7,4,Target
158,-20.9,7,4,Target
153,-20.9,8,4,Target
152,-20.9,7,4,Target
148,-20.9,5,4,Target
146,-19.3,7,3,Target
141,-21.7,3,5,Target
146,-21.7,4,5,Target
153,-17.9,9,3,Target
153,-17.9,9,3,Target
152,-17.9,10,3,Target
150,-17.9,9,3,Target
148,-17.9,7,3,Target
147,-17.9,8,3,Target
141,-17.9,6,3,Target
158,-16,10,2,Target
153,-16,8,2,Target
149,-16,9,2,Target
149,-16,10,2,Target
148,-16,7,2,Target
145,-14.7,9,1,Target
143,-16,8,2,Target
165,-16,9,2,Target
164,-16,11,2,Target
157,-16,10,2,Target
147,-16,9,2,Target
146,-16,7,2,Target
146,-16,8,2,Target
143,-16,9,2,Target
142,-16,7,2,Target
140,-16,8,2,Target
171,-16,9,2,Target
168,-16,11,2,Target
160,-16,11,2,Target
151,-16,9,2,Target
147,-16,8,2,Target
146,-16,8,2,Target
144,-15.4,7,2,Target
143,-16,8,2,Target
140,-16,5,2,Target
172,-20.9,8,4,Target
161,-20.9,8,4,Target
158,-20.9,8,4,Target
152,-20.9,7,4,Target
147,-20.9,5,4,Target
140,-14.7,7,1,Target
155,-16,8,2,Target
153,-18.9,8,3,Target
152,-18.9,6,3,Target
140,-18.9,7,3,Target
159,-19,10,3,Target
140,-19,5,3,Target
157,-16,10,2,Target
140,-16,6,2,Target
147,-16,10,2,Target
143,-15.7,9,2,Target
166,-20.9,9,4,Target
164,-20.9,7,4,Target
155,-20.9,9,4,Target
142,-20.9,6,4,Target
168,-16,11,2,Target
147,-16,7,2,Target
153,-16,11,2,Target
149,-16,10,2,Target
154,-16,9,2,Target
140,-16,8,2,Target
147,-16,7,2,Target
140,-15.7,10,2,Target
140,-13.9,10,1,Target
140,-11.6,9,2,Target
140,-16,6,2,Target
148,-16,9,2,Target
147,-16,8,2,Target
146,-15.7,9,2,Target
141,-15.7,8,2,Target
140,-16,7,2,Target
168,-16,10,2,Target
153,-16,9,2,Target
153,-18,9,3,Target
149,-18,8,3,Target
146,-20.4,5,4,Target
166,-17.8,7,3,Target
142,-22.1,6,5,Target
158,-18.2,8,3,Target
162,-21.1,9,5,Target
157,-21.1,8,5,Target
166,-19,10,4,Target
153,-21.1,4,5,Target
143,-15.2,9,4,Target
142,-21.1,2,5,Target
141,-21.1,5,5,Target
146,-18.5,6,3,Target
145,-12.6,9,2,Target
141,-18.5,4,3,Target
148,-18.5,5,3,Target
140,-18.5,4,3,Target
149,-18.5,8,3,Target
144,-18.5,5,3,Target
154,-18.5,6,3,Target
146,-17.9,7,3,Target
140,-18.5,4,3,Target
158,-18,11,3,Target
154,-18,7,3,Target
163,-18.9,11,3,Target
157,-22.3,5,5,Target
146,-22.3,2,5,Target
143,-22.3,5,5,Target
142,-21.4,3,5,Target
140,-19.4,5,4,Target
140,-22.3,2,5,Target
142,-18.2,8,3,Target
141,-14.6,5,3,Target
141,-20.5,7,4,Target
141,-20.5,7,4,Target
140,-20.5,7,4,Target
146,-20.1,8,4,Target
170,-20.1,8,4,Target
141,-20.1,5,4,Target
143,-15.7,8,4,Target
151,-20.1,9,4,Target
170,-20.1,9,4,Target
142,-20.1,5,4,Target
151,-20.1,9,4,Target
145,-15.7,7,4,Target
177,-20.1,10,4,Target
147,-20.1,7,4,Target
178,-20.1,9,4,Target
141,-20.1,5,4,Target
167,-20.1,9,4,Target
159,-20.1,9,4,Target
158,-20.1,7,4,Target
153,-18,9,3,Target
142,-20.1,4,4,Target
142,-18,7,3,Target
140,-16.9,5,3,Target
149,-20.1,9,4,Target
162,-20.1,6,4,Target
158,-20.1,6,4,Target
155,-15.7,7,4,Target
155,-20.1,9,4,Target
150,-20.1,5,4,Target
149,-20.1,9,4,Target
149,-20.1,9,4,Target
146,-20.1,4,4,Target
146,-20.1,5,4,Target
144,-20.1,4,4,Target
143,-20.1,5,4,Target
143,-20.1,5,4,Target
141,-20.1,3,4,Target
140,-20.1,4,4,Target
140,-20.1,3,4,Target
140,-20.1,3,4,Target
143,-20.1,7,4,Target
141,-20.1,3,4,Target
154,-20.1,10,4,Target
162,-20.1,7,4,Target
154,-20.1,8,4,Target
153,-20.1,7,4,Target
152,-20.1,5,4,Target
151,-20.1,5,4,Target
151,-20.1,5,4,Target
150,-20.1,5,4,Target
150,-20.1,8,4,Target
149,-20.1,5,4,Target
147,-20.1,5,4,Target
146,-20.1,4,4,Target
146,-20.1,5,4,Target
142,-20.1,4,4,Target
142,-20.1,4,4,Target
141,-20.1,6,4,Target
140,-20.1,3,4,Target
140,-20.1,4,4,Target
165,-20.1,8,4,Target
146,-20.1,5,4,Target
142,-20.1,8,4,Target
142,-20.1,4,4,Target
141,-20.1,7,4,Target
162,-20.1,7,4,Target
154,-20.1,6,4,Target
151,-20.1,7,4,Target
151,-20.1,6,4,Target
149,-20.1,5,4,Target
149,-20.1,5,4,Target
149,-20.1,5,4,Target
147,-20.1,7,4,Target
147,-20.1,4,4,Target
146,-20.1,7,4,Target
146,-20.1,8,4,Target
144,-20.1,6,4,Target
143,-20.1,6,4,Target
143,-20.1,4,4,Target
143,-20.1,6,4,Target
142,-15.7,8,4,Target
142,-20.1,7,4,Target
142,-20.1,5,4,Target
142,-20.1,5,4,Target
141,-20.1,4,4,Target
140,-20.1,3,4,Target
140,-20.1,3,4,Target
