@relation microarray

@attribute seedMFE numeric
@attribute Class {Target,Non-Target}

@data
-20.9,Target
-20.9,Target
-20.9,Target
-20.9,Target
-20.9,Target
-20.9,Target
-19.5,Target
-19.5,Target
-19.5,Target
-19.5,Target
-19.5,Target
-19.5,Target
-17.4,Target
-17.4,Target
-19.5,Target
-20.9,Target
-20.9,Target
-20.9,Target
-19.5,Target
-19.5,Target
-19.5,Target
-19.5,Target
-17.4,Target
-19.5,Target
-19.5,Target
-19.5,Target
-19.5,Target
-19.5,Target
-15.1,Target
-20.9,Target
-20.9,Target
-20.9,Target
-20.9,Target
-20.9,Target
-19.5,Target
-17.4,Target
-17.4,Target
-15.1,Target
-20.5,Target
-19.5,Target
-19.5,Target
-19.5,Target
-19.5,Target
-19.5,Target
-19.5,Target
-20.9,Target
-20.9,Target
-20.9,Target
-20.9,Target
-18.3,Target
-20.9,Target
-19.5,Target
-16.9,Target
-16.9,Target
-16.9,Target
-14.7,Target
-16.9,Target
-16.3,Target
-17.8,Target
-17.8,Target
-17.8,Target
-17.8,Target
-17.8,Target
-21.7,Target
-20.9,Target
-20.9,Target
-20.9,Target
-20.9,Target
-20.9,Target
-19.3,Target
-21.7,Target
-21.7,Target
-17.9,Target
-17.9,Target
-17.9,Target
-17.9,Target
-17.9,Target
-17.9,Target
-17.9,Target
-16,Target
-16,Target
-16,Target
-16,Target
-16,Target
-14.7,Target
-16,Target
-16,Target
-16,Target
-16,Target
-16,Target
-16,Target
-16,Target
-16,Target
-16,Target
-16,Target
-16,Target
-16,Target
-16,Target
-16,Target
-16,Target
-16,Target
-15.4,Target
-16,Target
-16,Target
-20.9,Target
-20.9,Target
-20.9,Target
-20.9,Target
-20.9,Target
-14.7,Target
-16,Target
-18.9,Target
-18.9,Target
-18.9,Target
-19,Target
-19,Target
-16,Target
-16,Target
-16,Target
-15.7,Target
-20.9,Target
-20.9,Target
-20.9,Target
-20.9,Target
-16,Target
-16,Target
-16,Target
-16,Target
-16,Target
-16,Target
-16,Target
-15.7,Target
-13.9,Target
-11.6,Target
-16,Target
-16,Target
-16,Target
-15.7,Target
-15.7,Target
-16,Target
-16,Target
-16,Target
-18,Target
-18,Target
-20.4,Target
-17.8,Target
-22.1,Target
-18.2,Target
-21.1,Target
-21.1,Target
-19,Target
-21.1,Target
-15.2,Target
-21.1,Target
-21.1,Target
-18.5,Target
-12.6,Target
-18.5,Target
-18.5,Target
-18.5,Target
-18.5,Target
-18.5,Target
-18.5,Target
-17.9,Target
-18.5,Target
-18,Target
-18,Target
-18.9,Target
-22.3,Target
-22.3,Target
-22.3,Target
-21.4,Target
-19.4,Target
-22.3,Target
-18.2,Target
-14.6,Target
-20.5,Target
-20.5,Target
-20.5,Target
-20.1,Target
-20.1,Target
-20.1,Target
-15.7,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-15.7,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-18,Target
-20.1,Target
-18,Target
-16.9,Target
-20.1,Target
-20.1,Target
-20.1,Target
-15.7,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-15.7,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-20.1,Target
-18,Target
-20.1,Target
-19.9,Target
-14.3,Target
-16.7,Target
-12.6,Target
-16.7,Target
-16.6,Target
-16.6,Target
-16.7,Target
-16.6,Target
-14.3,Target
-16.3,Target
-16.7,Target
-22.1,Target
-20.8,Target
-22.1,Target
-20.8,Target
-22.1,Target
-22.1,Target
-22.1,Target
-21.7,Target
-22.1,Target
-22.1,Target
-22.1,Target
-22.1,Target
-17.4,Target
-22.1,Target
-22.1,Target
-22.1,Target
-14,Target
-20.4,Target
-16,Target
-22.1,Target
-17.9,Target
-17.9,Target
-17.9,Target
-17.9,Target
-17.9,Target
-14.4,Target
-14.4,Target
-17.9,Target
-17.9,Target
-17.9,Target
-17.9,Target
-15.7,Target
-21,Target
-17.9,Target
-15.7,Target
-17.4,Target
-13.9,Target
-14.4,Target
-15.7,Target
-17.9,Target
-15.7,Target
-17.9,Target
-17.9,Target
-17.5,Target
-17.9,Target
-17.9,Target
-15.7,Target
-17.9,Target
-17.9,Target
-15.7,Target
-14.4,Target
-17.9,Target
-17.5,Target
-17.9,Target
-17.9,Target
-17.9,Target
-17.5,Target
-17.5,Target
-16.1,Target
-21.3,Target
-21.3,Target
-19.3,Target
-21.3,Target
-17.3,Target
-17.9,Target
-14.4,Target
-15.7,Target
-17.9,Target
-14.4,Target
-17.9,Target
-14.4,Target
-13.9,Target
-17.9,Target
-17.9,Target
-17.9,Target
-17.9,Target
-17.9,Target
-22.9,Target
-17.9,Target
-17.9,Target
-17.9,Target
-17.9,Target
-17.9,Target
-12.2,Target
-13.7,Target
-13.7,Target
-20.6,Target
-20.6,Target
-15.1,Target
-17.1,Target
-22.9,Target
-22.3,Target
-21.3,Target
-22.9,Target
-17.9,Target
-15.7,Target
-17.9,Target
-17.9,Target
-15.7,Target
-20.4,Target
-20.4,Target
-20.4,Target
-20.4,Target
-20.4,Target
-20.4,Target
-19.5,Target
-19.5,Target
-19.5,Target
-19.5,Target
-19.6,Target
-19.5,Target
-20.9,Target
-20.9,Target
-20.9,Target
-20.9,Target
-20.9,Target
-22.9,Target
-22.9,Target
-22.9,Target
-22.9,Target
-22.9,Target
-22.9,Target
-22.9,Target
-22.9,Target
-22.9,Target
-20.6,Target
-20.9,Target
-20.5,Target
-22.9,Target
-22.9,Target
-22.9,Target
-18.3,Target
-16,Target
-20.9,Target
-20.9,Target
-20.9,Target
-20.9,Target
-20.9,Target
-22.9,Target
-22.9,Target
