@relation microarray

@attribute seedMFE numeric
@attribute Pos_2 numeric
@attribute Class {Target,Non-Target}

@data
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-19.5,2,Target
-19.5,2,Target
-19.5,2,Target
-19.5,2,Target
-19.5,2,Target
-19.5,2,Target
-17.4,2,Target
-17.4,2,Target
-19.5,2,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-19.5,2,Target
-19.5,2,Target
-19.5,2,Target
-19.5,2,Target
-17.4,2,Target
-19.5,2,Target
-19.5,2,Target
-19.5,2,Target
-19.5,2,Target
-19.5,2,Target
-15.1,5,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-19.5,2,Target
-17.4,2,Target
-17.4,2,Target
-15.1,5,Target
-20.5,1,Target
-19.5,2,Target
-19.5,2,Target
-19.5,2,Target
-19.5,2,Target
-19.5,2,Target
-19.5,2,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-18.3,3,Target
-20.9,1,Target
-19.5,2,Target
-16.9,2,Target
-16.9,2,Target
-16.9,2,Target
-14.7,2,Target
-16.9,2,Target
-16.3,2,Target
-17.8,2,Target
-17.8,2,Target
-17.8,2,Target
-17.8,2,Target
-17.8,2,Target
-21.7,2,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-19.3,1,Target
-21.7,2,Target
-21.7,2,Target
-17.9,2,Target
-17.9,2,Target
-17.9,2,Target
-17.9,2,Target
-17.9,2,Target
-17.9,2,Target
-17.9,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-14.7,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-15.4,2,Target
-16,2,Target
-16,2,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-14.7,2,Target
-16,2,Target
-18.9,1,Target
-18.9,1,Target
-18.9,1,Target
-19,1,Target
-19,1,Target
-16,2,Target
-16,2,Target
-16,2,Target
-15.7,2,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-16,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-15.7,2,Target
-13.9,2,Target
-11.6,5,Target
-16,2,Target
-16,2,Target
-16,2,Target
-15.7,2,Target
-15.7,2,Target
-16,2,Target
-16,2,Target
-16,2,Target
-18,2,Target
-18,2,Target
-20.4,2,Target
-17.8,2,Target
-22.1,1,Target
-18.2,2,Target
-21.1,2,Target
-21.1,2,Target
-19,2,Target
-21.1,2,Target
-15.2,2,Target
-21.1,2,Target
-21.1,2,Target
-18.5,1,Target
-12.6,5,Target
-18.5,1,Target
-18.5,1,Target
-18.5,1,Target
-18.5,1,Target
-18.5,1,Target
-18.5,1,Target
-17.9,1,Target
-18.5,1,Target
-18,2,Target
-18,2,Target
-18.9,1,Target
-22.3,1,Target
-22.3,1,Target
-22.3,1,Target
-21.4,1,Target
-19.4,3,Target
-22.3,1,Target
-18.2,2,Target
-14.6,5,Target
-20.5,1,Target
-20.5,1,Target
-20.5,1,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-15.7,5,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-15.7,5,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-18,2,Target
-20.1,2,Target
-18,2,Target
-16.9,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-15.7,5,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-15.7,5,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-20.1,2,Target
-18,2,Target
-20.1,2,Target
-19.9,1,Target
-14.3,2,Target
-16.7,3,Target
-12.6,5,Target
-16.7,2,Target
-16.6,2,Target
-16.6,2,Target
-16.7,3,Target
-16.6,2,Target
-14.3,2,Target
-16.3,2,Target
-16.7,3,Target
-22.1,1,Target
-20.8,1,Target
-22.1,1,Target
-20.8,1,Target
-22.1,1,Target
-22.1,1,Target
-22.1,1,Target
-21.7,1,Target
-22.1,1,Target
-22.1,1,Target
-22.1,1,Target
-22.1,1,Target
-17.4,5,Target
-22.1,1,Target
-22.1,1,Target
-22.1,1,Target
-14,5,Target
-20.4,2,Target
-16,5,Target
-22.1,1,Target
-17.9,2,Target
-17.9,2,Target
-17.9,2,Target
-17.9,2,Target
-17.9,2,Target
-14.4,5,Target
-14.4,5,Target
-17.9,2,Target
-17.9,2,Target
-17.9,2,Target
-17.9,2,Target
-15.7,2,Target
-21,2,Target
-17.9,2,Target
-15.7,2,Target
-17.4,2,Target
-13.9,2,Target
-14.4,5,Target
-15.7,2,Target
-17.9,2,Target
-15.7,2,Target
-17.9,2,Target
-17.9,2,Target
-17.5,2,Target
-17.9,2,Target
-17.9,2,Target
-15.7,2,Target
-17.9,2,Target
-17.9,2,Target
-15.7,2,Target
-14.4,5,Target
-17.9,2,Target
-17.5,2,Target
-17.9,2,Target
-17.9,2,Target
-17.9,2,Target
-17.5,2,Target
-17.5,2,Target
-16.1,2,Target
-21.3,1,Target
-21.3,1,Target
-19.3,1,Target
-21.3,1,Target
-17.3,1,Target
-17.9,2,Target
-14.4,5,Target
-15.7,2,Target
-17.9,2,Target
-14.4,5,Target
-17.9,2,Target
-14.4,5,Target
-13.9,2,Target
-17.9,2,Target
-17.9,2,Target
-17.9,2,Target
-17.9,2,Target
-17.9,2,Target
-22.9,1,Target
-17.9,2,Target
-17.9,2,Target
-17.9,2,Target
-17.9,2,Target
-17.9,2,Target
-12.2,5,Target
-13.7,2,Target
-13.7,2,Target
-20.6,2,Target
-20.6,2,Target
-15.1,5,Target
-17.1,2,Target
-22.9,1,Target
-22.3,1,Target
-21.3,1,Target
-22.9,1,Target
-17.9,1,Target
-15.7,1,Target
-17.9,1,Target
-17.9,1,Target
-15.7,1,Target
-20.4,1,Target
-20.4,1,Target
-20.4,1,Target
-20.4,1,Target
-20.4,1,Target
-20.4,1,Target
-19.5,2,Target
-19.5,2,Target
-19.5,2,Target
-19.5,2,Target
-19.6,3,Target
-19.5,2,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-22.9,1,Target
-22.9,1,Target
-22.9,1,Target
-22.9,1,Target
-22.9,1,Target
-22.9,1,Target
-22.9,1,Target
-22.9,1,Target
-22.9,1,Target
-20.6,1,Target
-20.9,1,Target
-20.5,1,Target
-22.9,1,Target
-22.9,1,Target
-22.9,1,Target
-18.3,1,Target
-16,1,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-22.9,1,Target
-22.9,1,Target
-22.9,1,Target
-22.9,1,Target
-22.9,1,Target
-14.6,2,Target
-14.6,2,Target
-14.6,2,Target
-14.6,2,Target
-17.7,2,Target
-12.9,2,Target
-17.7,2,Target
-17.7,2,Target
-17.7,2,Target
-20.9,1,Target
-18,1,Target
-14.7,5,Target
-17.7,2,Target
-17.7,2,Target
-20.3,2,Target
-16.2,2,Target
-16.2,2,Target
-16.2,2,Target
-16.2,2,Target
-16.3,2,Target
-16.2,2,Target
-18.6,2,Target
-17.9,2,Target
-14.4,5,Target
-16.6,2,Target
-20.9,1,Target
-20.5,1,Target
-18.6,2,Target
-18.6,2,Target
-19,2,Target
-19,2,Target
-19,2,Target
-19,2,Target
-19,2,Target
-19,2,Target
-16.2,2,Target
-16.2,3,Target
-16.2,2,Target
-16.2,2,Target
-16.2,2,Target
-16.2,2,Target
-19.5,2,Target
-16.8,5,Target
-19.5,2,Target
-19.5,2,Target
-17.4,2,Target
-16.9,2,Target
-19.5,2,Target
-19.5,2,Target
-19.5,2,Target
-19.5,2,Target
-15.1,5,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-20.9,1,Target
-19.5,2,Target
-19.5,2,Target
-19.5,2,Target
-17.4,2,Target
-15.1,5,Target
-18.5,2,Non-Target
-19,1,Non-Target
-14.6,3,Non-Target
-14.6,3,Non-Target
-14.6,3,Non-Target
-17.2,1,Non-Target
-17.2,1,Non-Target
-18.2,2,Non-Target
-18.2,2,Non-Target
-20,1,Non-Target
-15.5,2,Non-Target
-21.9,1,Non-Target
-16.9,1,Non-Target
-19,1,Non-Target
-16.3,1,Non-Target
-19.9,1,Non-Target
-19.9,1,Non-Target
-18.6,3,Non-Target
-18.9,2,Non-Target
-18.9,2,Non-Target
-18.4,2,Non-Target
-18.9,2,Non-Target
-18.9,2,Non-Target
-18.9,2,Non-Target
-18.9,2,Non-Target
-18.9,2,Non-Target
-18.9,2,Non-Target
-19.6,1,Non-Target
-19.9,1,Non-Target
-18.9,2,Non-Target
-18.9,2,Non-Target
-18.9,2,Non-Target
-18.9,2,Non-Target
-18.6,2,Non-Target
-14.4,5,Non-Target
-18.9,2,Non-Target
-14.4,5,Non-Target
-18.9,2,Non-Target
-14.4,5,Non-Target
-18.9,2,Non-Target
-14.4,5,Non-Target
-18.9,2,Non-Target
-14.4,5,Non-Target
-18.9,2,Non-Target
-19.6,1,Non-Target
-19.9,1,Non-Target
-18.6,3,Non-Target
-18.6,3,Non-Target
-18.9,2,Non-Target
-18.9,2,Non-Target
-18.9,2,Non-Target
-18.9,2,Non-Target
-18.9,2,Non-Target
-18.9,2,Non-Target
-18.6,3,Non-Target
-18.4,2,Non-Target
-18.4,2,Non-Target
-18.9,2,Non-Target
-19.9,1,Non-Target
-19.9,1,Non-Target
-18.9,2,Non-Target
-18.9,2,Non-Target
-18.9,1,Non-Target
-18.4,1,Non-Target
-15.5,2,Non-Target
-18.4,1,Non-Target
-18.6,1,Non-Target
-11.9,5,Non-Target
-18.4,1,Non-Target
-18.9,1,Non-Target
-18.4,1,Non-Target
-18.9,1,Non-Target
-18.4,1,Non-Target
-18.9,1,Non-Target
-18.4,1,Non-Target
-18.4,1,Non-Target
-18.6,1,Non-Target
-18.9,1,Non-Target
-21.1,2,Non-Target
-21.1,2,Non-Target
-18,1,Non-Target
-17.7,1,Non-Target
-19.3,2,Non-Target
-19.3,2,Non-Target
-21.1,2,Non-Target
-21.1,2,Non-Target
-13.9,5,Non-Target
-21.1,2,Non-Target
-21.1,2,Non-Target
-13.9,5,Non-Target
-17.7,1,Non-Target
-21.1,2,Non-Target
-21.1,2,Non-Target
-21.1,2,Non-Target
-16.1,5,Non-Target
-21.1,2,Non-Target
-18,1,Non-Target
-21.1,2,Non-Target
-17.9,1,Non-Target
-12.6,5,Non-Target
-14.2,5,Non-Target
-18.5,1,Non-Target
-18.3,2,Non-Target
-16.5,2,Non-Target
-16.9,2,Non-Target
-22.5,1,Non-Target
-22.2,1,Non-Target
-19.3,2,Non-Target
-22.2,1,Non-Target
-22.5,1,Non-Target
-22.5,1,Non-Target
-22.2,1,Non-Target
-19.6,3,Non-Target
-22.2,1,Non-Target
-17.4,1,Non-Target
-19.5,1,Non-Target
-22.2,1,Non-Target
-20.2,1,Non-Target
-15.7,5,Non-Target
-22.3,1,Non-Target
-22.3,1,Non-Target
-19.4,3,Non-Target
-19.4,3,Non-Target
-15.5,5,Non-Target
-21.4,1,Non-Target
-21.4,1,Non-Target
-22.3,1,Non-Target
-22.3,1,Non-Target
-20.1,1,Non-Target
-22.3,1,Non-Target
-21.4,1,Non-Target
-10.7,5,Non-Target
-16.9,1,Non-Target
-10.7,5,Non-Target
-10.7,5,Non-Target
-16.9,1,Non-Target
-18.1,2,Non-Target
-18.8,1,Non-Target
-18.5,1,Non-Target
-18.3,1,Non-Target
-18.8,1,Non-Target
-16.9,1,Non-Target
-13.6,5,Non-Target
-13.6,5,Non-Target
-13.6,5,Non-Target
-13.6,5,Non-Target
-13.6,5,Non-Target
-16,1,Non-Target
-16.6,1,Non-Target
-16.6,1,Non-Target
-18.3,1,Non-Target
-19.3,2,Non-Target
-19.3,2,Non-Target
-16,1,Non-Target
-16.6,1,Non-Target
-16.7,1,Non-Target
-16.6,1,Non-Target
-16.6,1,Non-Target
-18.4,1,Non-Target
-18.6,1,Non-Target
-18.6,1,Non-Target
-18.6,1,Non-Target
-16.3,1,Non-Target
-17.9,2,Non-Target
-18.6,1,Non-Target
-15.9,1,Non-Target
-18,1,Non-Target
-21.3,2,Non-Target
-21.3,2,Non-Target
-21.3,2,Non-Target
-21.3,2,Non-Target
-17.8,2,Non-Target
-18.7,2,Non-Target
-18.7,2,Non-Target
-18.7,2,Non-Target
-18.7,2,Non-Target
-18.7,2,Non-Target
-18.7,2,Non-Target
-18.7,2,Non-Target
-16.7,5,Non-Target
