@relation microarray

@attribute seedMFE numeric
@attribute seedGC numeric
@attribute Pos_2 numeric
@attribute Class {Target,Non-Target}

@data
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-19.5,4,2,Target
-19.5,4,2,Target
-19.5,4,2,Target
-19.5,4,2,Target
-19.5,4,2,Target
-19.5,4,2,Target
-17.4,3,2,Target
-17.4,3,2,Target
-19.5,4,2,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-19.5,4,2,Target
-19.5,4,2,Target
-19.5,4,2,Target
-19.5,4,2,Target
-17.4,3,2,Target
-19.5,4,2,Target
-19.5,4,2,Target
-19.5,4,2,Target
-19.5,4,2,Target
-19.5,4,2,Target
-15.1,4,5,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-19.5,4,2,Target
-17.4,3,2,Target
-17.4,3,2,Target
-15.1,4,5,Target
-20.5,4,1,Target
-19.5,4,2,Target
-19.5,4,2,Target
-19.5,4,2,Target
-19.5,4,2,Target
-19.5,4,2,Target
-19.5,4,2,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-18.3,3,3,Target
-20.9,4,1,Target
-19.5,4,2,Target
-16.9,3,2,Target
-16.9,3,2,Target
-16.9,3,2,Target
-14.7,2,2,Target
-16.9,3,2,Target
-16.3,2,2,Target
-17.8,3,2,Target
-17.8,3,2,Target
-17.8,3,2,Target
-17.8,3,2,Target
-17.8,3,2,Target
-21.7,5,2,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-19.3,3,1,Target
-21.7,5,2,Target
-21.7,5,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-14.7,1,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-15.4,2,2,Target
-16,2,2,Target
-16,2,2,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-14.7,1,2,Target
-16,2,2,Target
-18.9,3,1,Target
-18.9,3,1,Target
-18.9,3,1,Target
-19,3,1,Target
-19,3,1,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-15.7,2,2,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-15.7,2,2,Target
-13.9,1,2,Target
-11.6,2,5,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-15.7,2,2,Target
-15.7,2,2,Target
-16,2,2,Target
-16,2,2,Target
-16,2,2,Target
-18,3,2,Target
-18,3,2,Target
-20.4,4,2,Target
-17.8,3,2,Target
-22.1,5,1,Target
-18.2,3,2,Target
-21.1,5,2,Target
-21.1,5,2,Target
-19,4,2,Target
-21.1,5,2,Target
-15.2,4,2,Target
-21.1,5,2,Target
-21.1,5,2,Target
-18.5,3,1,Target
-12.6,2,5,Target
-18.5,3,1,Target
-18.5,3,1,Target
-18.5,3,1,Target
-18.5,3,1,Target
-18.5,3,1,Target
-18.5,3,1,Target
-17.9,3,1,Target
-18.5,3,1,Target
-18,3,2,Target
-18,3,2,Target
-18.9,3,1,Target
-22.3,5,1,Target
-22.3,5,1,Target
-22.3,5,1,Target
-21.4,5,1,Target
-19.4,4,3,Target
-22.3,5,1,Target
-18.2,3,2,Target
-14.6,3,5,Target
-20.5,4,1,Target
-20.5,4,1,Target
-20.5,4,1,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-15.7,4,5,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-15.7,4,5,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-18,3,2,Target
-20.1,4,2,Target
-18,3,2,Target
-16.9,3,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-15.7,4,5,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-15.7,4,5,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-20.1,4,2,Target
-18,3,2,Target
-20.1,4,2,Target
-19.9,4,1,Target
-14.3,1,2,Target
-16.7,2,3,Target
-12.6,2,5,Target
-16.7,2,2,Target
-16.6,2,2,Target
-16.6,2,2,Target
-16.7,2,3,Target
-16.6,2,2,Target
-14.3,1,2,Target
-16.3,2,2,Target
-16.7,2,3,Target
-22.1,5,1,Target
-20.8,4,1,Target
-22.1,5,1,Target
-20.8,4,1,Target
-22.1,5,1,Target
-22.1,5,1,Target
-22.1,5,1,Target
-21.7,5,1,Target
-22.1,5,1,Target
-22.1,5,1,Target
-22.1,5,1,Target
-22.1,5,1,Target
-17.4,4,5,Target
-22.1,5,1,Target
-22.1,5,1,Target
-22.1,5,1,Target
-14,3,5,Target
-20.4,4,2,Target
-16,4,5,Target
-22.1,5,1,Target
-17.9,3,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-14.4,3,5,Target
-14.4,3,5,Target
-17.9,3,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-15.7,2,2,Target
-21,4,2,Target
-17.9,3,2,Target
-15.7,2,2,Target
-17.4,3,2,Target
-13.9,1,2,Target
-14.4,3,5,Target
-15.7,2,2,Target
-17.9,3,2,Target
-15.7,2,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-17.5,3,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-15.7,2,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-15.7,2,2,Target
-14.4,3,5,Target
-17.9,3,2,Target
-17.5,3,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-17.5,3,2,Target
-17.5,3,2,Target
-16.1,2,2,Target
-21.3,4,1,Target
-21.3,4,1,Target
-19.3,3,1,Target
-21.3,4,1,Target
-17.3,4,1,Target
-17.9,3,2,Target
-14.4,3,5,Target
-15.7,2,2,Target
-17.9,3,2,Target
-14.4,3,5,Target
-17.9,3,2,Target
-14.4,3,5,Target
-13.9,1,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-22.9,5,1,Target
-17.9,3,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-17.9,3,2,Target
-12.2,2,5,Target
-13.7,1,2,Target
-13.7,1,2,Target
-20.6,4,2,Target
-20.6,4,2,Target
-15.1,4,5,Target
-17.1,2,2,Target
-22.9,5,1,Target
-22.3,5,1,Target
-21.3,4,1,Target
-22.9,5,1,Target
-17.9,3,1,Target
-15.7,2,1,Target
-17.9,3,1,Target
-17.9,3,1,Target
-15.7,2,1,Target
-20.4,4,1,Target
-20.4,4,1,Target
-20.4,4,1,Target
-20.4,4,1,Target
-20.4,4,1,Target
-20.4,4,1,Target
-19.5,4,2,Target
-19.5,4,2,Target
-19.5,4,2,Target
-19.5,4,2,Target
-19.6,4,3,Target
-19.5,4,2,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-22.9,5,1,Target
-22.9,5,1,Target
-22.9,5,1,Target
-22.9,5,1,Target
-22.9,5,1,Target
-22.9,5,1,Target
-22.9,5,1,Target
-22.9,5,1,Target
-22.9,5,1,Target
-20.6,4,1,Target
-20.9,4,1,Target
-20.5,4,1,Target
-22.9,5,1,Target
-22.9,5,1,Target
-22.9,5,1,Target
-18.3,4,1,Target
-16,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-22.9,5,1,Target
-22.9,5,1,Target
-22.9,5,1,Target
-22.9,5,1,Target
-22.9,5,1,Target
-14.6,2,2,Target
-14.6,2,2,Target
-14.6,2,2,Target
-14.6,2,2,Target
-17.7,3,2,Target
-12.9,3,2,Target
-17.7,3,2,Target
-17.7,3,2,Target
-17.7,3,2,Target
-20.9,4,1,Target
-18,3,1,Target
-14.7,3,5,Target
-17.7,3,2,Target
-17.7,3,2,Target
-20.3,4,2,Target
-16.2,2,2,Target
-16.2,2,2,Target
-16.2,2,2,Target
-16.2,2,2,Target
-16.3,2,2,Target
-16.2,2,2,Target
-18.6,3,2,Target
-17.9,3,2,Target
-14.4,3,5,Target
-16.6,2,2,Target
-20.9,4,1,Target
-20.5,4,1,Target
-18.6,3,2,Target
-18.6,3,2,Target
-19,3,2,Target
-19,3,2,Target
-19,3,2,Target
-19,3,2,Target
-19,3,2,Target
-19,3,2,Target
-16.2,2,2,Target
-16.2,2,3,Target
-16.2,2,2,Target
-16.2,2,2,Target
-16.2,2,2,Target
-16.2,2,2,Target
-19.5,4,2,Target
-16.8,3,5,Target
-19.5,4,2,Target
-19.5,4,2,Target
-17.4,3,2,Target
-16.9,3,2,Target
-19.5,4,2,Target
-19.5,4,2,Target
-19.5,4,2,Target
-19.5,4,2,Target
-15.1,4,5,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-20.9,4,1,Target
-19.5,4,2,Target
-19.5,4,2,Target
-19.5,4,2,Target
-17.4,3,2,Target
-15.1,4,5,Target
-18.5,3,2,Non-Target
-19,3,1,Non-Target
-14.6,1,3,Non-Target
-14.6,1,3,Non-Target
-14.6,1,3,Non-Target
-17.2,2,1,Non-Target
-17.2,2,1,Non-Target
-18.2,3,2,Non-Target
-18.2,3,2,Non-Target
-20,4,1,Non-Target
-15.5,2,2,Non-Target
-21.9,5,1,Non-Target
-16.9,5,1,Non-Target
-19,3,1,Non-Target
-16.3,2,1,Non-Target
-19.9,4,1,Non-Target
-19.9,4,1,Non-Target
-18.6,3,3,Non-Target
-18.9,3,2,Non-Target
-18.9,3,2,Non-Target
-18.4,3,2,Non-Target
-18.9,3,2,Non-Target
-18.9,3,2,Non-Target
-18.9,3,2,Non-Target
-18.9,3,2,Non-Target
-18.9,3,2,Non-Target
-18.9,3,2,Non-Target
-19.6,4,1,Non-Target
-19.9,4,1,Non-Target
-18.9,3,2,Non-Target
-18.9,3,2,Non-Target
-18.9,3,2,Non-Target
-18.9,3,2,Non-Target
-18.6,3,2,Non-Target
-14.4,3,5,Non-Target
-18.9,3,2,Non-Target
-14.4,3,5,Non-Target
-18.9,3,2,Non-Target
-14.4,3,5,Non-Target
-18.9,3,2,Non-Target
-14.4,3,5,Non-Target
-18.9,3,2,Non-Target
-14.4,3,5,Non-Target
-18.9,3,2,Non-Target
-19.6,4,1,Non-Target
-19.9,4,1,Non-Target
-18.6,3,3,Non-Target
-18.6,3,3,Non-Target
-18.9,3,2,Non-Target
-18.9,3,2,Non-Target
-18.9,3,2,Non-Target
-18.9,3,2,Non-Target
-18.9,3,2,Non-Target
-18.9,3,2,Non-Target
-18.6,3,3,Non-Target
-18.4,3,2,Non-Target
-18.4,3,2,Non-Target
-18.9,3,2,Non-Target
-19.9,4,1,Non-Target
-19.9,4,1,Non-Target
-18.9,3,2,Non-Target
-18.9,3,2,Non-Target
-18.9,3,1,Non-Target
-18.4,3,1,Non-Target
-15.5,2,2,Non-Target
-18.4,3,1,Non-Target
-18.6,3,1,Non-Target
-11.9,2,5,Non-Target
-18.4,3,1,Non-Target
-18.9,3,1,Non-Target
-18.4,3,1,Non-Target
-18.9,3,1,Non-Target
-18.4,3,1,Non-Target
-18.9,3,1,Non-Target
-18.4,3,1,Non-Target
-18.4,3,1,Non-Target
-18.6,3,1,Non-Target
-18.9,3,1,Non-Target
-21.1,5,2,Non-Target
-21.1,5,2,Non-Target
-18,3,1,Non-Target
-17.7,3,1,Non-Target
-19.3,4,2,Non-Target
-19.3,4,2,Non-Target
-21.1,5,2,Non-Target
-21.1,5,2,Non-Target
-13.9,2,5,Non-Target
-21.1,5,2,Non-Target
-21.1,5,2,Non-Target
-13.9,2,5,Non-Target
-17.7,3,1,Non-Target
-21.1,5,2,Non-Target
-21.1,5,2,Non-Target
-21.1,5,2,Non-Target
-16.1,3,5,Non-Target
-21.1,5,2,Non-Target
-18,3,1,Non-Target
-21.1,5,2,Non-Target
-17.9,3,1,Non-Target
-12.6,2,5,Non-Target
-14.2,3,5,Non-Target
-18.5,3,1,Non-Target
-18.3,3,2,Non-Target
-16.5,2,2,Non-Target
-16.9,2,2,Non-Target
-22.5,5,1,Non-Target
-22.2,5,1,Non-Target
-19.3,4,2,Non-Target
-22.2,5,1,Non-Target
-22.5,5,1,Non-Target
-22.5,5,1,Non-Target
-22.2,5,1,Non-Target
-19.6,4,3,Non-Target
-22.2,5,1,Non-Target
-17.4,3,1,Non-Target
-19.5,4,1,Non-Target
-22.2,5,1,Non-Target
-20.2,4,1,Non-Target
-15.7,4,5,Non-Target
-22.3,5,1,Non-Target
-22.3,5,1,Non-Target
-19.4,4,3,Non-Target
-19.4,4,3,Non-Target
-15.5,4,5,Non-Target
-21.4,5,1,Non-Target
-21.4,5,1,Non-Target
-22.3,5,1,Non-Target
-22.3,5,1,Non-Target
-20.1,4,1,Non-Target
-22.3,5,1,Non-Target
-21.4,5,1,Non-Target
-10.7,1,5,Non-Target
-16.9,2,1,Non-Target
-10.7,1,5,Non-Target
-10.7,1,5,Non-Target
-16.9,2,1,Non-Target
-18.1,3,2,Non-Target
-18.8,3,1,Non-Target
-18.5,3,1,Non-Target
-18.3,3,1,Non-Target
-18.8,3,1,Non-Target
-16.9,2,1,Non-Target
-13.6,3,5,Non-Target
-13.6,3,5,Non-Target
-13.6,3,5,Non-Target
-13.6,3,5,Non-Target
-13.6,3,5,Non-Target
-16,2,1,Non-Target
-16.6,2,1,Non-Target
-16.6,2,1,Non-Target
-18.3,3,1,Non-Target
-19.3,4,2,Non-Target
-19.3,4,2,Non-Target
-16,2,1,Non-Target
-16.6,2,1,Non-Target
-16.7,2,1,Non-Target
-16.6,2,1,Non-Target
-16.6,2,1,Non-Target
-18.4,3,1,Non-Target
-18.6,3,1,Non-Target
-18.6,3,1,Non-Target
-18.6,3,1,Non-Target
-16.3,2,1,Non-Target
-17.9,3,2,Non-Target
-18.6,3,1,Non-Target
-15.9,3,1,Non-Target
-18,3,1,Non-Target
-21.3,4,2,Non-Target
-21.3,4,2,Non-Target
-21.3,4,2,Non-Target
-21.3,4,2,Non-Target
-17.8,3,2,Non-Target
-18.7,3,2,Non-Target
-18.7,3,2,Non-Target
-18.7,3,2,Non-Target
-18.7,3,2,Non-Target
-18.7,3,2,Non-Target
-18.7,3,2,Non-Target
-18.7,3,2,Non-Target
-16.7,4,5,Non-Target
-16.7,4,5,Non-Target
-16.7,4,5,Non-Target
-18.6,3,2,Non-Target
-20.4,4,1,Non-Target
-17.8,3,1,Non-Target
-20.4,4,1,Non-Target
-16.3,3,1,Non-Target
-17.8,3,1,Non-Target
-20.4,4,1,Non-Target
-16.3,3,1,Non-Target
-17.8,3,1,Non-Target
-20.4,4,1,Non-Target
-16.3,3,1,Non-Target
-20.4,4,1,Non-Target
-20.4,4,1,Non-Target
-20.4,4,1,Non-Target
-20.4,4,1,Non-Target
-17.5,3,3,Non-Target
-20.4,4,1,Non-Target
-17.5,3,3,Non-Target
-20.4,4,1,Non-Target
-17.5,3,3,Non-Target
-10.3,1,5,Non-Target
-20.4,4,1,Non-Target
-20.4,4,1,Non-Target
-20.4,4,1,Non-Target
-20.4,4,1,Non-Target
-18.7,3,1,Non-Target
-18.1,3,1,Non-Target
-18.6,3,1,Non-Target
-18.1,3,1,Non-Target
-18.6,3,1,Non-Target
-18.6,3,1,Non-Target
-16,2,1,Non-Target
-18.6,3,1,Non-Target
-16,2,1,Non-Target
-18.6,3,1,Non-Target
-23.9,6,1,Non-Target
-21.9,5,1,Non-Target
-17.1,3,2,Non-Target
-18.6,3,1,Non-Target
-18.6,3,1,Non-Target
-12.4,2,5,Non-Target
-18.6,3,1,Non-Target
-16.2,2,1,Non-Target
-16,2,1,Non-Target
-16,2,2,Non-Target
-12.1,2,5,Non-Target
-18.6,3,1,Non-Target
-16.1,2,1,Non-Target
-18.1,3,1,Non-Target
-18.6,3,1,Non-Target
-16.1,2,1,Non-Target
-18.1,3,1,Non-Target
-18.6,3,1,Non-Target
-18.1,3,1,Non-Target
-18.6,3,1,Non-Target
-16.1,2,1,Non-Target
-18.1,3,1,Non-Target
-18.6,3,1,Non-Target
-16.1,2,1,Non-Target
-18.1,3,1,Non-Target
-16.1,2,1,Non-Target
-18.1,3,1,Non-Target
-16,2,2,Non-Target
-16.2,2,3,Non-Target
-16.1,2,1,Non-Target
-18.1,3,1,Non-Target
-16,2,2,Non-Target
-18.6,3,1,Non-Target
-18.6,3,1,Non-Target
-18.1,3,1,Non-Target
-18.6,3,1,Non-Target
-16.2,2,1,Non-Target
