@relation microarray

@attribute totalMFE numeric
@attribute seedMFE numeric
@attribute seedGC numeric
@attribute Pos_2 numeric
@attribute Class {Target,Non-Target}

@data
-25.5,-20.9,4,1,Target
-27.9,-20.9,4,1,Target
-26.3,-20.9,4,1,Target
-26.7,-20.9,4,1,Target
-25.1,-20.9,4,1,Target
-27.4,-20.9,4,1,Target
-24.82,-19.5,4,2,Target
-22.3,-19.5,4,2,Target
-23.3,-19.5,4,2,Target
-26.8,-19.5,4,2,Target
-29.9,-19.5,4,2,Target
-28.1,-19.5,4,2,Target
-23.6,-17.4,3,2,Target
-24.9,-17.4,3,2,Target
-28.4,-19.5,4,2,Target
-27.5,-20.9,4,1,Target
-28.2,-20.9,4,1,Target
-27.5,-20.9,4,1,Target
-23.6,-19.5,4,2,Target
-20.9,-19.5,4,2,Target
-26.2,-19.5,4,2,Target
-29.4,-19.5,4,2,Target
-20.6,-17.4,3,2,Target
-22,-19.5,4,2,Target
-25.8,-19.5,4,2,Target
-26.7,-19.5,4,2,Target
-27.9,-19.5,4,2,Target
-22.94,-19.5,4,2,Target
-22,-15.1,4,5,Target
-26.4,-20.9,4,1,Target
-27.2,-20.9,4,1,Target
-30.9,-20.9,4,1,Target
-26.1,-20.9,4,1,Target
-23.2,-20.9,4,1,Target
-21.7,-19.5,4,2,Target
-24.4,-17.4,3,2,Target
-30,-17.4,3,2,Target
-23.66,-15.1,4,5,Target
-30.8,-20.5,4,1,Target
-24.12,-19.5,4,2,Target
-23.64,-19.5,4,2,Target
-26.6,-19.5,4,2,Target
-28.1,-19.5,4,2,Target
-22,-19.5,4,2,Target
-29.9,-19.5,4,2,Target
-33.3,-20.9,4,1,Target
-31.7,-20.9,4,1,Target
-31.5,-20.9,4,1,Target
-30.6,-20.9,4,1,Target
-22.7,-18.3,3,3,Target
-23.7,-20.9,4,1,Target
-27.9,-19.5,4,2,Target
-28.3,-16.9,3,2,Target
-31.4,-16.9,3,2,Target
-25.3,-16.9,3,2,Target
-22.2,-14.7,2,2,Target
-33.5,-16.9,3,2,Target
-26.8,-16.3,2,2,Target
-32.1,-17.8,3,2,Target
-25,-17.8,3,2,Target
-24.7,-17.8,3,2,Target
-24.3,-17.8,3,2,Target
-22.2,-17.8,3,2,Target
-21,-21.7,5,2,Target
-21.6,-20.9,4,1,Target
-28.3,-20.9,4,1,Target
-23.9,-20.9,4,1,Target
-29.5,-20.9,4,1,Target
-23.2,-20.9,4,1,Target
-29.6,-19.3,3,1,Target
-24.3,-21.7,5,2,Target
-21.9,-21.7,5,2,Target
-26.7,-17.9,3,2,Target
-23.8,-17.9,3,2,Target
-26.8,-17.9,3,2,Target
-28.1,-17.9,3,2,Target
-25.5,-17.9,3,2,Target
-21.7,-17.9,3,2,Target
-17.7,-17.9,3,2,Target
-22.7,-16,2,2,Target
-20.6,-16,2,2,Target
-22.2,-16,2,2,Target
-21.34,-16,2,2,Target
-22.3,-16,2,2,Target
-23.7,-14.7,1,2,Target
-20.5,-16,2,2,Target
-30.7,-16,2,2,Target
-24.3,-16,2,2,Target
-22.7,-16,2,2,Target
-22,-16,2,2,Target
-28.2,-16,2,2,Target
-17.4,-16,2,2,Target
-19,-16,2,2,Target
-22.5,-16,2,2,Target
-17.6,-16,2,2,Target
-35,-16,2,2,Target
-25.3,-16,2,2,Target
-25.6,-16,2,2,Target
-21.7,-16,2,2,Target
-21.3,-16,2,2,Target
-19.8,-16,2,2,Target
-25,-15.4,2,2,Target
-27.2,-16,2,2,Target
-24.1,-16,2,2,Target
-28.3,-20.9,4,1,Target
-22.6,-20.9,4,1,Target
-24.8,-20.9,4,1,Target
-26.5,-20.9,4,1,Target
-21.3,-20.9,4,1,Target
-25,-14.7,1,2,Target
-19.6,-16,2,2,Target
-28.3,-18.9,3,1,Target
-24.8,-18.9,3,1,Target
-22.52,-18.9,3,1,Target
-26.4,-19,3,1,Target
-22.2,-19,3,1,Target
-21.7,-16,2,2,Target
-24.2,-16,2,2,Target
-20.4,-16,2,2,Target
-22.5,-15.7,2,2,Target
-32.8,-20.9,4,1,Target
-28.9,-20.9,4,1,Target
-29.1,-20.9,4,1,Target
-20.1,-20.9,4,1,Target
-27.1,-16,2,2,Target
-24.9,-16,2,2,Target
-23.5,-16,2,2,Target
-18.1,-16,2,2,Target
-18.8,-16,2,2,Target
-14.5,-16,2,2,Target
-20.7,-16,2,2,Target
-16.6,-15.7,2,2,Target
-13.1,-13.9,1,2,Target
-16.6,-11.6,2,5,Target
-18.4,-16,2,2,Target
-21.8,-16,2,2,Target
-20.9,-16,2,2,Target
-23.6,-15.7,2,2,Target
-21.4,-15.7,2,2,Target
-14.7,-16,2,2,Target
-25.9,-16,2,2,Target
-24,-16,2,2,Target
-26.2,-18,3,2,Target
-24.3,-18,3,2,Target
-29,-20.4,4,2,Target
-33.3,-17.8,3,2,Target
-25,-22.1,5,1,Target
-25.5,-18.2,3,2,Target
-27.8,-21.1,5,2,Target
-22.2,-21.1,5,2,Target
-31.8,-19,4,2,Target
-25.5,-21.1,5,2,Target
-32.4,-15.2,4,2,Target
-21.6,-21.1,5,2,Target
-24.8,-21.1,5,2,Target
-17.5,-18.5,3,1,Target
-21.5,-12.6,2,5,Target
-19.2,-18.5,3,1,Target
-20.8,-18.5,3,1,Target
